罪種,認知件数_2025,認知件数_2024,増減,増減率
関東,,169.0,150.0,19.0
中部,,785.0,633.0,152.0
中部,,40.0,33.0,7.0
中部,,53.0,46.0,7.0
中部,,30.0,21.0,9.0
中部,,72.0,75.0,-3.0
中部,,528.0,407.0,121.0
中部,,62.0,51.0,11.0
近畿,,1566.0,1554.0,12.0
近畿,,99.0,103.0,-4.0
近畿,,129.0,120.0,9.0
近畿,,785.0,781.0,4.0
近畿,,471.0,483.0,-12.0
近畿,,49.0,42.0,7.0
近畿,,33.0,25.0,8.0
中国,,342.0,256.0,86.0
中国,,21.0,25.0,-4.0
中国,,27.0,16.0,11.0
中国,,116.0,60.0,56.0
中国,,142.0,135.0,7.0
中国,,36.0,20.0,16.0
四国,,118.0,134.0,-16.0
四国,,14.0,27.0,-13.0
四国,,44.0,36.0,8.0
四国,,33.0,36.0,-3.0
四国,,27.0,35.0,-8.0
九州,,649.0,691.0,-42.0
九州,,228.0,282.0,-54.0
九州,,48.0,36.0,12.0
九州,,48.0,40.0,8.0
九州,,116.0,85.0,31.0
九州,,28.0,22.0,6.0
九州,,33.0,57.0,-24.0
九州,,79.0,87.0,-8.0
九州,,69.0,82.0,-13.0
第６表,,,,
総数,,51653.0,46698.0,4955.0
北海道,,1026.0,917.0,109.0
北海道,,661.0,578.0,83.0
北海道,,86.0,91.0,-5.0
北海道,,162.0,105.0,57.0
北海道,,86.0,104.0,-18.0
北海道,,31.0,39.0,-8.0
東北,,2705.0,2811.0,-106.0
東北,,224.0,306.0,-82.0
東北,,218.0,350.0,-132.0
東北,,887.0,767.0,120.0
東北,,135.0,184.0,-49.0
東北,,242.0,229.0,13.0
東北,,999.0,975.0,24.0
東京都,,3412.0,2875.0,537.0
関東,,23022.0,20901.0,2121.0
関東,,3172.0,2676.0,496.0
関東,,2034.0,1600.0,434.0
関東,,2784.0,2392.0,392.0
関東,,4999.0,4388.0,611.0
関東,,3955.0,3560.0,395.0
関東,,3199.0,2882.0,317.0
関東,,701.0,917.0,-216.0
関東,,293.0,324.0,-31.0
関東,,679.0,903.0,-224.0
関東,,1206.0,1259.0,-53.0
中部,,8609.0,6848.0,1761.0
中部,,706.0,318.0,388.0
中部,,542.0,488.0,54.0
中部,,245.0,307.0,-62.0
中部,,1510.0,1182.0,328.0
中部,,4337.0,3368.0,969.0
中部,,1269.0,1185.0,84.0
近畿,,5677.0,5168.0,509.0
近畿,,411.0,483.0,-72.0
近畿,,462.0,414.0,48.0
近畿,,2387.0,2171.0,216.0
近畿,,1772.0,1563.0,209.0
近畿,,399.0,298.0,101.0
近畿,,246.0,239.0,7.0
中国,,1673.0,1631.0,42.0
中国,,165.0,83.0,82.0
中国,,125.0,187.0,-62.0
中国,,582.0,533.0,49.0
中国,,544.0,584.0,-40.0
中国,,257.0,244.0,13.0
